125252,motori,,1019840
515382, Motori,RTI DMP - Master Seat - Private > Self-Classification > Consumo Media > Internet > Web > Destinazioni Preferite > TGCom24 > Motori,83200
515427, Altri Motori,RTI DMP - Master Seat - Private > Self-Classification > Consumo Media > Internet > Web > Destinazioni Preferite > Sport Mediaset > Altri Motori,16000
515613, Corse Automobili,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Sport > Corse Automobili,180160
515635, Corse Motocicli,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Sport > Corse Motocicli,335040
515698, Auto e Moto,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto,658560
515699, Automobili,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili,70400
515701, Cabrio,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Cabrio,0
515702, Coupe,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Coupe,0
515703, Crossover,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Crossover,0
515704, Due Volumi,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Due Volumi,0
515705, Veicolo Elettrico,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Veicolo Elettrico,0
515706, Hybrid,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Hybrid,0
515707, Luxury,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Luxury,0
515708, MiniVan,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > MiniVan,0
515709, Off-Road,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Off-Road,0
515710, Pickup,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Pickup,0
515711, Sedan,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Sedan,0
515712, Vintage,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Vintage,0
515713, Wagon,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Tipo di Auto > Wagon,0
515715, BMW,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Brand > BMW,8320
515716, Mercedes,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Brand > Mercedes,7040
515717, Fiat,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Brand > Fiat,18240
515718, Alfa,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Brand > Alfa,13440
515719, Renault,RTI DMP - Master Seat - Private > Self-Classification > Hobby e Interessi > Auto e Moto > Automobili > Brand > Renault,4800
